id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL102009,HENRI,45,1005,0,1.2,2009-10-06 00:00:00,2009-10-08 12:00:00,15.1,-49.2
AL112009,IDA,90,975,2,8.1,2009-11-04 06:00:00,2009-11-10 06:00:00,11.0,-81.3
AL012010,ALEX,95,946,2,7.7,2010-06-25 18:00:00,2010-07-02 00:00:00,16.4,-83.1
AL022010,TWO,30,1005,-1,0.0,2010-07-08 00:00:00,2010-07-09 00:00:00,23.7,-93.7
AL032010,BONNIE,40,1005,0,0.4,2010-07-22 06:00:00,2010-07-24 18:00:00,21.5,-73.8
AL042010,COLIN,50,1005,0,1.9,2010-08-02 12:00:00,2010-08-08 06:00:00,12.5,-40.7
AL052010,FIVE,30,1008,-1,0.0,2010-08-10 18:00:00,2010-08-11 00:00:00,25.9,-83.7
AL062010,DANIELLE,115,942,4,21.1,2010-08-21 18:00:00,2010-08-30 18:00:00,11.0,-31.7
AL072010,EARL,125,927,4,27.7,2010-08-25 06:00:00,2010-09-04 19:00:00,14.1,-27.8
AL082010,FIONA,55,998,0,3.1,2010-08-30 12:00:00,2010-09-03 18:00:00,14.4,-45.7
AL092010,GASTON,35,1005,0,0.2,2010-09-01 06:00:00,2010-09-02 12:00:00,12.4,-33.6
AL102010,HERMINE,60,989,0,1.6,2010-09-05 18:00:00,2010-09-09 12:00:00,20.0,-95.5
AL112010,IGOR,135,924,4,41.9,2010-09-08 06:00:00,2010-09-21 15:00:00,14.0,-22.7
AL122010,JULIA,120,948,4,15.5,2010-09-12 06:00:00,2010-09-20 12:00:00,12.9,-20.5
AL132010,KARL,110,956,3,6.3,2010-09-14 12:00:00,2010-09-18 06:00:00,17.6,-82.3
AL142010,LISA,75,982,1,4.1,2010-09-20 18:00:00,2010-09-26 12:00:00,16.3,-32.0
AL152010,MATTHEW,50,998,0,1.5,2010-09-23 12:00:00,2010-09-26 06:00:00,13.7,-74.8
AL162010,NICOLE,40,995,0,0.7,2010-09-28 12:00:00,2010-09-29 12:00:00,20.4,-83.0
AL172010,OTTO,75,976,1,5.4,2010-10-06 06:00:00,2010-10-10 00:00:00,22.0,-67.2
AL182010,PAULA,90,981,2,7.5,2010-10-11 00:00:00,2010-10-15 06:00:00,13.9,-81.8
AL192010,RICHARD,85,977,2,5.0,2010-10-20 06:00:00,2010-10-25 18:00:00,17.8,-82.8
AL202010,SHARY,65,989,1,2.1,2010-10-28 18:00:00,2010-10-30 12:00:00,25.6,-61.2
AL212010,TOMAS,85,982,2,11.8,2010-10-29 06:00:00,2010-11-07 18:00:00,9.0,-53.7
AL012011,ARLENE,55,993,0,1.9,2011-06-28 18:00:00,2011-07-01 00:00:00,20.7,-93.5
AL022011,BRET,60,995,0,3.3,2011-07-17 18:00:00,2011-07-22 06:00:00,27.8,-78.2
AL032011,CINDY,60,994,0,2.3,2011-07-20 06:00:00,2011-07-22 18:00:00,33.0,-59.5
AL042011,DON,45,997,0,1.6,2011-07-27 06:00:00,2011-07-30 02:30:00,21.6,-85.7
AL052011,EMILY,45,1003,0,2.3,2011-08-02 00:00:00,2011-08-07 06:00:00,14.9,-61.4
AL062011,FRANKLIN,40,1004,0,0.3,2011-08-12 18:00:00,2011-08-13 12:00:00,35.6,-64.7
AL072011,GERT,55,1000,0,1.9,2011-08-13 18:00:00,2011-08-16 06:00:00,27.3,-60.6
AL082011,HARVEY,55,994,0,1.5,2011-08-19 00:00:00,2011-08-22 12:00:00,15.4,-82.0
AL092011,IRENE,105,942,3,18.8,2011-08-21 00:00:00,2011-08-28 18:00:00,15.0,-59.0
AL102011,TEN,30,1006,-1,0.0,2011-08-25 00:00:00,2011-08-26 18:00:00,12.3,-29.0
AL112011,JOSE,40,1006,0,0.8,2011-08-27 06:00:00,2011-08-28 18:00:00,27.7,-62.4
AL122011,KATIA,120,942,4,27.0,2011-08-29 06:00:00,2011-09-10 06:00:00,9.5,-25.6
AL202011,UNNAMED,40,1002,0,0.8,2011-09-01 00:00:00,2011-09-02 18:00:00,37.3,-63.9
AL132011,LEE,50,986,0,1.8,2011-09-02 00:00:00,2011-09-05 00:00:00,26.6,-91.4
AL142011,MARIA,70,983,1,9.2,2011-09-06 18:00:00,2011-09-16 18:30:00,11.5,-35.9
AL152011,NATE,65,994,1,4.3,2011-09-07 18:00:00,2011-09-11 18:00:00,20.3,-92.6
AL162011,OPHELIA,120,940,4,18.7,2011-09-20 18:00:00,2011-10-03 06:00:00,12.2,-38.6
AL172011,PHILIPPE,80,976,1,15.9,2011-09-24 06:00:00,2011-10-08 12:00:00,11.0,-24.7
AL182011,RINA,100,966,3,10.1,2011-10-23 06:00:00,2011-10-28 12:00:00,14.2,-81.4
AL192011,SEAN,55,982,0,3.7,2011-11-08 06:00:00,2011-11-11 18:00:00,27.7,-69.8
AL012012,ALBERTO,50,995,0,1.9,2012-05-19 06:00:00,2012-05-22 06:00:00,32.8,-77.1
AL022012,BERYL,60,992,0,2.5,2012-05-26 00:00:00,2012-05-30 12:00:00,32.3,-75.0
AL032012,CHRIS,75,974,1,4.1,2012-06-18 18:00:00,2012-06-22 06:00:00,38.0,-61.3
AL042012,DEBBY,55,990,0,2.8,2012-06-23 12:00:00,2012-06-27 12:00:00,25.5,-87.6
AL052012,ERNESTO,85,973,2,8.5,2012-08-01 12:00:00,2012-08-10 06:00:00,11.6,-46.7
AL062012,FLORENCE,50,1002,0,1.5,2012-08-03 18:00:00,2012-08-06 06:00:00,13.0,-25.9
AL072012,HELENE,40,1004,0,0.3,2012-08-09 18:00:00,2012-08-18 18:00:00,13.7,-43.0
AL082012,GORDON,95,965,2,8.6,2012-08-15 12:00:00,2012-08-20 12:00:00,27.6,-54.6
AL092012,ISAAC,70,965,1,10.4,2012-08-21 06:00:00,2012-09-01 06:00:00,14.9,-50.1
AL102012,JOYCE,35,1006,0,0.2,2012-08-22 06:00:00,2012-08-24 06:00:00,11.5,-34.5
AL112012,KIRK,90,970,2,7.7,2012-08-28 18:00:00,2012-09-02 18:00:00,23.9,-43.4
AL122012,LESLIE,70,968,1,16.3,2012-08-30 00:00:00,2012-09-11 06:00:00,13.5,-39.2
AL132012,MICHAEL,100,964,3,16.7,2012-09-03 06:00:00,2012-09-11 12:00:00,25.4,-41.2
AL142012,NADINE,80,978,1,26.3,2012-09-10 12:00:00,2012-10-03 18:00:00,15.5,-38.0
AL152012,OSCAR,45,994,0,1.5,2012-10-03 06:00:00,2012-10-05 12:00:00,16.3,-40.5
AL162012,PATTY,40,1005,0,1.1,2012-10-11 00:00:00,2012-10-13 06:00:00,25.4,-72.4
AL172012,RAFAEL,80,969,1,7.4,2012-10-12 18:00:00,2012-10-17 12:00:00,14.7,-62.7
AL182012,SANDY,100,940,3,13.7,2012-10-22 12:00:00,2012-10-29 18:00:00,13.1,-78.6
AL192012,TONY,45,1000,0,1.2,2012-10-22 18:00:00,2012-10-25 12:00:00,21.9,-51.8
